sample,pop,id
AK_001,AK,001
AK_003,AK,003
AK_004,AK,004
AK_005,AK,005
AK_006,AK,006
AK_007,AK,007
AK_008,AK,008
AK_009,AK,009
AK_010,AK,010
AK_011,AK,011
AK_012,AK,012
AK_013,AK,013
AK_014,AK,014
AK_015,AK,015
AK_016,AK,016
AK_017,AK,017
AK_018,AK,018
AK_019,AK,019
AK_020,AK,020
AK_021,AK,021
AK_022,AK,022
AK_023,AK,023
AK_024,AK,024
AK_026,AK,026
AK_028,AK,028
AK_029,AK,029
AK_030,AK,030
AK_031,AK,031
AK_034,AK,034
AK_035,AK,035
AK_036,AK,036
LK_001,LK,001
LK_003,LK,003
LK_005,LK,005
LK_006,LK,006
LK_008,LK,008
LK_009,LK,009
LK_010,LK,010
LK_011,LK,011
LK_012,LK,012
LK_013,LK,013
LK_014,LK,014
LK_015,LK,015
LK_016,LK,016
LK_017,LK,017
LK_018,LK,018
LK_019,LK,019
LK_020,LK,020
LK_021,LK,021
LK_022,LK,022
LK_023,LK,023
LK_024,LK,024
LK_025,LK,025
LK_026,LK,026
LK_027,LK,027
LK_028,LK,028
LK_029,LK,029
LK_030,LK,030
LK_031,LK,031
LK_032,LK,032
LK_033,LK,033
LK_034,LK,034
NC_001,NC,001
NC_002,NC,002
NC_003,NC,003
NC_004,NC,004
NC_005,NC,005
NC_006,NC,006
NC_007,NC,007
NC_008,NC,008
NC_010,NC,010
NC_011,NC,011
NC_013,NC,013
NC_014,NC,014
NC_015,NC,015
NC_016,NC,016
NC_017,NC,017
NC_018,NC,018
NC_019,NC,019
NC_022,NC,022
NC_023,NC,023
NC_024,NC,024
NC_026,NC,026
NC_028,NC,028
PC_001,PC,001
PC_002,PC,002
PC_003,PC,003
PC_004,PC,004
PC_005,PC,005
PC_006,PC,006
PC_007,PC,007
PC_008,PC,008
PC_009,PC,009
PC_010,PC,010
PC_011,PC,011
PC_012,PC,012
PC_013,PC,013
PC_014,PC,014
PC_015,PC,015
PC_016,PC,016
PC_017,PC,017
PC_018,PC,018
PC_019,PC,019
PC_020,PC,020
PC_021,PC,021
PC_022,PC,022
PC_024,PC,024
PC_025,PC,025
PC_026,PC,026
PC_027,PC,027
PC_028,PC,028
PC_029,PC,029
PC_030,PC,030
PC_031,PC,031
PC_032,PC,032
PC_036,PC,036
PC_037,PC,037
PC_038,PC,038
PC_039,PC,039
PC_040,PC,040
