sample,pop,num
BON_01,BON,01
BON_02,BON,02
BON_03,BON,03
BON_04,BON,04
BON_05,BON,05
BON_06,BON,06
BON_07,BON,07
BON_08,BON,08
BON_12,BON,12
BON_13,BON,13
BON_17,BON,17
BON_19,BON,19
BON_21,BON,21
BON_22,BON,22
BON_23,BON,23
BON_24,BON,24
BON_25,BON,25
BON_26,BON,26
BON_29,BON,29
BON_30,BON,30
BON_31,BON,31
BON_32,BON,32
BON_33,BON,33
BON_35,BON,35
BON_38,BON,38
BON_41,BON,41
BON_42,BON,42
BON_43,BON,43
BON_44,BON,44
BON_45,BON,45
BON_x1,BON,x1
BON_x2,BON,x2
BOO_02,BOO,02
BOO_04,BOO,04
BOO_05,BOO,05
BOO_06,BOO,06
BOO_07,BOO,07
BOO_08,BOO,08
BOO_09,BOO,09
BOO_10,BOO,10
BOO_12,BOO,12
BOO_13,BOO,13
BOO_14,BOO,14
BOO_15,BOO,15
BOO_16,BOO,16
BOO_17,BOO,17
BOO_18,BOO,18
BOO_19,BOO,19
BOO_20,BOO,20
BOO_22,BOO,22
BOO_23,BOO,23
BOO_24,BOO,24
BOO_25,BOO,25
BOO_26,BOO,26
BOO_27,BOO,27
BOO_30,BOO,30
BOO_31,BOO,31
BOO_32,BOO,32
BOO_34,BOO,34
BOO_35,BOO,35
BOO_37,BOO,37
BOO_39,BOO,39
BOO_40,BOO,40
BOO_42,BOO,42
BOO_43,BOO,43
BOO_46,BOO,46
BOO_47,BOO,47
BRA_02,BRA,02
BRA_03,BRA,03
BRA_04,BRA,04
BRA_08,BRA,08
BRA_09,BRA,09
BRA_10,BRA,10
BRA_11,BRA,11
BRA_12,BRA,12
BRA_13,BRA,13
BRA_14,BRA,14
BRA_15,BRA,15
BRA_16,BRA,16
BRA_17,BRA,17
BRA_18,BRA,18
BRA_20,BRA,20
BRA_21,BRA,21
BRA_22,BRA,22
BRA_23,BRA,23
BRA_24,BRA,24
BRA_25,BRA,25
BRA_26,BRA,26
BRA_27,BRA,27
BRA_30,BRA,30
BRA_31,BRA,31
BRA_32,BRA,32
BRA_33,BRA,33
BRA_34,BRA,34
BRA_36,BRA,36
BRA_37,BRA,37
BRA_39,BRA,39
BRA_41,BRA,41
BRA_43,BRA,43
BRO_02,BRO,02
BRO_03,BRO,03
BRO_04,BRO,04
BRO_05,BRO,05
BRO_06,BRO,06
BRO_08,BRO,08
BRO_09,BRO,09
BRO_10,BRO,10
BRO_12,BRO,12
BRO_13,BRO,13
BRO_15,BRO,15
BRO_16,BRO,16
BRO_17,BRO,17
BRO_18,BRO,18
BRO_19,BRO,19
BRO_20,BRO,20
BRO_21,BRO,21
BRO_22,BRO,22
BRO_23,BRO,23
BRO_24,BRO,24
BRO_25,BRO,25
BRO_26,BRO,26
BRO_27,BRO,27
BRO_28,BRO,28
BRO_29,BRO,29
BRO_30,BRO,30
BRO_31,BRO,31
BRO_32,BRO,32
BRO_33,BRO,33
BRO_34,BRO,34
BRO_35,BRO,35
BRO_37,BRO,37
BRO_38,BRO,38
BRO_39,BRO,39
BRO_44,BRO,44
BUZ_01,BUZ,01
BUZ_02,BUZ,02
BUZ_03,BUZ,03
BUZ_04,BUZ,04
BUZ_05,BUZ,05
BUZ_06,BUZ,06
BUZ_07,BUZ,07
BUZ_08,BUZ,08
BUZ_09,BUZ,09
BUZ_10,BUZ,10
BUZ_11,BUZ,11
BUZ_12,BUZ,12
BUZ_13,BUZ,13
BUZ_18,BUZ,18
BUZ_19,BUZ,19
BUZ_21,BUZ,21
BUZ_22,BUZ,22
BUZ_23,BUZ,23
BUZ_24,BUZ,24
BUZ_25,BUZ,25
BUZ_26,BUZ,26
BUZ_27,BUZ,27
BUZ_28,BUZ,28
BUZ_29,BUZ,29
BUZ_30,BUZ,30
BUZ_32,BUZ,32
BUZ_33,BUZ,33
BUZ_34,BUZ,34
BUZ_35,BUZ,35
BUZ_39,BUZ,39
BUZ_41,BUZ,41
BUZ_42,BUZ,42
BUZ_44,BUZ,44
BUZ_46,BUZ,46
BUZ_47,BUZ,47
BUZ_48,BUZ,48
CAN_06,CAN,06
CAN_07,CAN,07
CAN_08,CAN,08
CAN_09,CAN,09
CAN_11,CAN,11
CAN_13,CAN,13
CAN_14,CAN,14
CAN_15,CAN,15
CAN_16,CAN,16
CAN_17,CAN,17
CAN_18,CAN,18
CAN_19,CAN,19
CAN_20,CAN,20
CAN_21,CAN,21
CAN_22,CAN,22
CAN_23,CAN,23
CAN_24,CAN,24
CAN_25,CAN,25
CAN_26,CAN,26
