sample,pop
AR_001,all_lumped
AR_003,all_lumped
AR_004,all_lumped
AR_005,all_lumped
AR_008,all_lumped
AR_010,all_lumped
AR_012,all_lumped
AR_014,all_lumped
AR_015,all_lumped
AR_016,all_lumped
AR_017,all_lumped
AR_019,all_lumped
AR_020,all_lumped
AR_023,all_lumped
AR_024,all_lumped
AR_026,all_lumped
AR_028,all_lumped
AR_031,all_lumped
AR_033,all_lumped
AR_034,all_lumped
AR_035,all_lumped
AR_036,all_lumped
AR_037,all_lumped
ARB_001,all_lumped
ARB_002,all_lumped
ARB_003,all_lumped
ARB_004,all_lumped
ARB_005,all_lumped
ARB_006,all_lumped
ARB_007,all_lumped
ARB_008,all_lumped
ARB_009,all_lumped
ARB_010,all_lumped
ARB_011,all_lumped
ARB_012,all_lumped
ARB_013,all_lumped
ARB_014,all_lumped
ARB_015,all_lumped
ARB_016,all_lumped
ARB_017,all_lumped
ARB_018,all_lumped
ARB_019,all_lumped
ARB_020,all_lumped
ARB_021,all_lumped
ARB_022,all_lumped
ARB_023,all_lumped
ARB_024,all_lumped
ARB_025,all_lumped
ARB_026,all_lumped
ARB_027,all_lumped
ARB_028,all_lumped
ARB_029,all_lumped
ARB_030,all_lumped
ARB_031,all_lumped
ARB_032,all_lumped
ARB_033,all_lumped
ARB_034,all_lumped
ARB_035,all_lumped
ELA_001,all_lumped
ELA_002,all_lumped
ELA_003,all_lumped
ELA_004,all_lumped
ELA_005,all_lumped
ELA_006,all_lumped
ELA_007,all_lumped
ELA_008,all_lumped
ELA_009,all_lumped
ELA_010,all_lumped
ELA_011,all_lumped
ELA_012,all_lumped
ELA_013,all_lumped
ELA_014,all_lumped
ELA_015,all_lumped
ELA_016,all_lumped
ELA_017,all_lumped
ELA_018,all_lumped
ELA_019,all_lumped
ELA_020,all_lumped
ELA_021,all_lumped
ELA_022,all_lumped
ELA_023,all_lumped
ELA_024,all_lumped
ELA_025,all_lumped
ELA_027,all_lumped
ELA_029,all_lumped
ELA_030,all_lumped
ELA_031,all_lumped
ELA_032,all_lumped
ELA_033,all_lumped
ELA_034,all_lumped
ELA_035,all_lumped
ELA_036,all_lumped
ELA_037,all_lumped
ELA_039,all_lumped
JC_1116,all_lumped
JC_1118,all_lumped
JC_1119,all_lumped
JC_1213,all_lumped
JC_1216,all_lumped
JC_1218,all_lumped
JC_1219,all_lumped
JC_1221,all_lumped
JC_1222,all_lumped
JC_1224,all_lumped
JC_1226,all_lumped
JC_539,all_lumped
JC_547,all_lumped
JC_553,all_lumped
JC_555,all_lumped
JC_562,all_lumped
JC_567,all_lumped
JC_569,all_lumped
JC_576,all_lumped
JC_581,all_lumped
JC_585,all_lumped
JC_586,all_lumped
JC_590,all_lumped
JC_592,all_lumped
JC_594,all_lumped
JC_600,all_lumped
JC_611,all_lumped
JC_959,all_lumped
JC_966,all_lumped
MB_001,all_lumped
MB_002,all_lumped
MB_003,all_lumped
MB_004,all_lumped
MB_005,all_lumped
MB_006,all_lumped
MB_007,all_lumped
MB_008,all_lumped
MB_009,all_lumped
MB_010,all_lumped
MB_011,all_lumped
MB_012,all_lumped
MB_013,all_lumped
MB_014,all_lumped
MB_015,all_lumped
MB_016,all_lumped
MB_017,all_lumped
MB_019,all_lumped
MB_020,all_lumped
MB_022,all_lumped
MB_024,all_lumped
MB_025,all_lumped
MB_026,all_lumped
MB_027,all_lumped
MB_028,all_lumped
MB_029,all_lumped
MB_030,all_lumped
MB_031,all_lumped
MB_032,all_lumped
MB_033,all_lumped
MB_034,all_lumped
MB_035,all_lumped
MB_036,all_lumped
MB_037,all_lumped
MBB_001,all_lumped
MBB_002,all_lumped
MBB_003,all_lumped
MBB_004,all_lumped
MBB_006,all_lumped
MBB_007,all_lumped
MBB_008,all_lumped
MBB_009,all_lumped
MBB_010,all_lumped
MBB_011,all_lumped
MBB_013,all_lumped
MBB_014,all_lumped
MBB_015,all_lumped
MBB_016,all_lumped
MBB_017,all_lumped
MBB_019,all_lumped
MBB_020,all_lumped
MBB_021,all_lumped
MBB_022,all_lumped
MBB_023,all_lumped
MBB_024,all_lumped
MBB_025,all_lumped
MBB_026,all_lumped
MBB_027,all_lumped
PC_057,all_lumped
PC_058,all_lumped
PC_059,all_lumped
PC_060,all_lumped
PC_061,all_lumped
PC_062,all_lumped
PC_064,all_lumped
PC_065,all_lumped
PC_068,all_lumped
PC_069,all_lumped
PC_070,all_lumped
PC_072,all_lumped
PC_074,all_lumped
PC_075,all_lumped
PC_079,all_lumped
PC_080,all_lumped
PC_082,all_lumped
PC_083,all_lumped
PC_084,all_lumped
PC_087,all_lumped
PC_088,all_lumped
PC_089,all_lumped
PC_090,all_lumped
PC_093,all_lumped
