sample,pop
A.r-RSJ-11.80.fq,RSJ
A.r-RSJ-12.80.fq,RSJ
A.r-RSJ-15.80.fq,RSJ
A.r-RSJ-26.80.fq,RSJ
A.r-RSJ-27.80.fq,RSJ
A.r-RSJ-3.80.fq,RSJ
A.r-RSJ-30.80.fq,RSJ
A.r-RSJ-31.80.fq,RSJ
A.r-RSJ-33.80.fq,RSJ
A.r-RSJ-34.80.fq,RSJ
A.r-RSJ-35.80.fq,RSJ
A.r-RSJ-36.80.fq,RSJ
A.r-RSJ-37.80.fq,RSJ
A.r-RSJ-38.80.fq,RSJ
A.r-RSJ-4.80.fq,RSJ
A.r-RSJ-40.80.fq,RSJ
A.r-RSJ-5.80.fq,RSJ
A.r-RSJ-6.80.fq,RSJ
A.r-RSJ-7.80.fq,RSJ
A.r-RSJ-8.80.fq,RSJ
A.r-RSJ-9.80.fq,RSJ
A.r-SF-151.fq.80.fq,SF
A.r-SF-152.fq.80.fq,SF
A.r-SF-153.fq.80.fq,SF
A.r-SF-154.fq.80.fq,SF
A.r-SF-155.fq.80.fq,SF
A.r-SF-158.fq.80.fq,SF
A.r-SF-160.fq.80.fq,SF
A.r-SF-162.fq.80.fq,SF
A.r-SF-163.fq.80.fq,SF
A.r-SF-164.fq.80.fq,SF
A.r-SF-165.fq.80.fq,SF
A.r-SF-176.fq.80.fq,SF
A.r-SF-178.fq.80.fq,SF
A.r-SF-179.fq.80.fq,SF
A.r-SF-181.fq.80.fq,SF
A.r-SF-182.fq.80.fq,SF
A.r-SF-183.fq.80.fq,SF
A.r-SF-184.fq.80.fq,SF
A.r-SF-185.fq.80.fq,SF
A.r-SF-186.fq.80.fq,SF
A.r-SF-187.fq.80.fq,SF
A.r-SF-189.fq.80.fq,SF
A.r-SF-190.fq.80.fq,SF
A.r-SO-52.80.fq,SO
A.r-SO-53.80.fq,SO
A.r-SO-54.80.fq,SO
A.r-SO-55.80.fq,SO
A.r-SO-56.80.fq,SO
A.r-SO-57.80.fq,SO
A.r-SO-59.80.fq,SO
A.r-SO-60.80.fq,SO
A.r-SO-62.80.fq,SO
A.r-SO-63.80.fq,SO
A.r-SO-64.80.fq,SO
A.r-SO-65.80.fq,SO
A.r-SO-78.80.fq,SO
A.r-SO-79.80.fq,SO
A.r-SO-80.80.fq,SO
A.r-SO-81.80.fq,SO
A.r-SO-82.80.fq,SO
A.r-SO-83.80.fq,SO
A.r-SO-84.80.fq,SO
A.r-SO-85.80.fq,SO
A.r-SO-87.80.fq,SO
A.r-SO-88.80.fq,SO
A.r-SO-89.80.fq,SO
A.r-SO-90.80.fq,SO
A.r-SP-101.80.fq,SP
A.r-SP-103.80.fq,SP
A.r-SP-104.80.fq,SP
A.r-SP-105.80.fq,SP
A.r-SP-106.80.fq,SP
A.r-SP-107.80.fq,SP
A.r-SP-108.80.fq,SP
A.r-SP-109.80.fq,SP
A.r-SP-110.80.fq,SP
A.r-SP-112.80.fq,SP
A.r-SP-113.80.fq,SP
A.r-SP-126.80.fq,SP
A.r-SP-128.80.fq,SP
A.r-SP-129.80.fq,SP
A.r-SP-130.80.fq,SP
A.r-SP-131.80.fq,SP
A.r-SP-133.80.fq,SP
A.r-SP-134.80.fq,SP
A.r-SP-135.80.fq,SP
A.r-SP-137.80.fq,SP
A.r-SP-139.80.fq,SP
