sample,pop
ES09,ES
ES13,ES
ES15,ES
ES16,ES
ES17,ES
ES18,ES
ES19,ES
ES20,ES
ES21,ES
ES22,ES
ES23,ES
ES24,ES
ES25,ES
ES26,ES
ES27,ES
ES28,ES
SS05,SS
SS06,SS
SS07,SS
SS08,SS
SS09,SS
SS10,SS
SS15,SS
SS16,SS
SS17,SS
SS18,SS
SS19,SS
SS20,SS
SS21,SS
SS22,SS
SS24,SS
SS25,SS
SS26,SS
SS27,SS
SS28,SS
SS29,SS
SS32,SS
SS33,SS
SS34,SS
EJ02,EJ
EJ03,EJ
EJ04,EJ
EJ05,EJ
EJ06,EJ
EJ07,EJ
EJ08,EJ
EJ09,EJ
EJ10,EJ
EJ11,EJ
EJ12,EJ
EJ13,EJ
EJ15,EJ
EJ16,EJ
EJ18,EJ
EJ19,EJ
EJ20,EJ
EJ21,EJ
EJ22,EJ
EJ23,EJ
EJ24,EJ
EJ25,EJ
EJ27,EJ
EJ28,EJ
SJ01,SJ
SJ02,SJ
SJ03,SJ
SJ04,SJ
SJ05,SJ
SJ06,SJ
SJ07,SJ
SJ08,SJ
SJ09,SJ
SJ10,SJ
SJ11,SJ
SJ12,SJ
SJ13,SJ
SJ14,SJ
SJ15,SJ
SJ16,SJ
SJ17,SJ
SJ18,SJ
SJ20,SJ
SJ21,SJ
SJ22,SJ
SJ23,SJ
SJ24,SJ
SJ25,SJ
ER01,ER
ER02,ER
ER03,ER
ER04,ER
ER05,ER
ER06,ER
ER07,ER
ER08,ER
ER09,ER
ER11,ER
ER12,ER
ER13,ER
ER14,ER
ER15,ER
ER16,ER
ER17,ER
ER18,ER
ER20,ER
ER21,ER
ER22,ER
ER23,ER
ER24,ER
SR01,SR
SR02,SR
SR03,SR
SR04,SR
SR05,SR
SR06,SR
SR07,SR
SR08,SR
SR09,SR
SR10,SR
SR11,SR
SR12,SR
SR13,SR
SR14,SR
SR15,SR
SR16,SR
SR18,SR
SR21,SR
SR22,SR
SR23,SR
SR25,SR
