POP,ID,Flight_endurance,Body_mass,Flight_muscle_ratio,Fat_content
BPM,scit_42:C2C9HACXX:5:250226330,2.84,0.864089635,0.464968786,0.174212693
BPM,scit_52:C2C9HACXX:5:250226410,NA,0.927980821,0.432464688,0.159314912
BPM,scit_57:C2C9HACXX:5:250226355,1.61,0.954290762,0.409672032,0.248316854
BPM,scit_45:C2C9HACXX:5:250226354,2.33,0.881356121,0.442642899,0.200841054
BPM,scit_47:C2C9HACXX:5:250226370,2.38,0.831242505,0.364634766,0.187516592
BPM,scit_53:C2C9HACXX:5:250226323,3.07,0.938629786,0.370740289,0.188155076
BPM,scit_54:C2C9HACXX:5:250226331,2.3,0.881818164,0.432052932,0.204395085
BPM,scit_55:C2C9HACXX:5:250226339,2.73,0.892100171,0.397787618,0.244355842
BPM,scit_59:C2C9HACXX:5:250226371,1.9,0.882558688,0.434022933,0.135952612
BPM,scit_41:C2C9HACXX:5:250226322,2.67,0.949380247,0.371116036,0.214195825
BPM,scit_43:C2C9HACXX:5:250226338,1.88,0.95558674,0.405907528,0.210613764
BPM,scit_44:C2C9HACXX:5:250226346,2.22,0.982849907,0.375859895,0.257500416
BPM,scit_46:C2C9HACXX:5:250226362,2.35,0.953315025,0.451666741,0.252772582
BPM,scit_48:C2C9HACXX:5:250226378,2.85,0.855494927,0.391385494,0.14057967
BPM,scit_49:C2C9HACXX:5:250226386,3.26,0.918764031,0.393135342,0.215251989
BPM,scit_50:C2C9HACXX:5:250226394,3.26,0.943929582,0.441565204,0.257065811
BPM,scit_56:C2C9HACXX:5:250226347,2.56,0.854882693,0.443045084,0.179314198
BPM,scit_58:C2C9HACXX:5:250226363,2.14,0.917295401,0.412042732,0.252601016
BPM,scit_60:C2C9HACXX:5:250226379,NA,0.819069901,0.395951716,0.097773328
CA,scit_191:MRG:2:250226469,1.18,0.87,0.34,0.16
CA,scit_194:MRG:2:250226493,2.18,0.82,0.36,0.12
CA,scit_197:MRG:2:250226517,2.52,0.84,0.49,0.18
CA,scit_181:MRG:2:250226476,2.11,0.76,0.41,0.1
CA,scit_182:MRG:2:250226484,2.58,0.83,0.48,0.11
CA,scit_183:MRG:2:250226500,2.29,0.87,0.45,0.18
CA,scit_184:MRG:2:250226508,1.66,0.83,0.47,0.14
CA,scit_185:MRG:2:250226516,2.24,0.84,0.36,0.13
CA,scit_187:MRG:2:250226532,2.15,0.85,0.39,0.17
CA,scit_188:MRG:2:250226540,1.77,0.91,0.46,0.21
CA,scit_190:MRG:2:250226461,2.02,0.82,0.42,0.19
CA,scit_192:MRG:2:250226477,2.33,0.79,0.42,0.09
CA,scit_193:MRG:2:250226485,2.47,0.87,0.48,0.16
CA,scit_195:MRG:2:250226501,2.69,0.85,0.42,0.13
CA,scit_196:MRG:2:250226509,2.14,0.73,0.4,0.09
CA,scit_198:MRG:2:250226525,2.2,0.79,0.46,0.11
CA,scit_199:MRG:2:250226533,2.27,0.82,0.46,0.09
CA,scit_200:MRG:2:250226541,2.52,0.83,0.36,0.14
CA,scit_186:MRG:2:250226524,2.07,0.88,0.39,0.13
CA,scit_189:MRG:2:250226453,2.35,0.73,0.42,0.15
DNZ,scit_104:MRG:2:250226478,1.72,0.79,0.33,0.1
DNZ,scit_105:MRG:2:250226486,3.18,0.77,0.33,0.11
DNZ,scit_111:MRG:2:250226526,2.17,0.89,0.4,0.13
DNZ,scit_113:MRG:2:250226447,NA,0.82,0.35,0.16
DNZ,scit_116:MRG:2:250226471,2.66,0.75,0.44,0.13
DNZ,scit_101:MRG:2:250226454,1.08,0.81,0.3,0.14
DNZ,scit_106:MRG:2:250226494,2.74,0.86,0.35,0.14
DNZ,scit_108:MRG:2:250226510,2.78,0.85,0.43,0.19
DNZ,scit_110:MRG:2:250226518,2.15,0.79,0.33,0.09
DNZ,scit_112:MRG:2:250226534,2.54,0.79,0.42,0.14
DNZ,scit_115:MRG:2:250226463,2.82,NA,NA,NA
DNZ,scit_102:MRG:2:250226462,1.43,0.85,0.34,0.15
DNZ,scit_103:MRG:2:250226470,1.87,0.82,0.27,0.16
DNZ,scit_107:MRG:2:250226502,3.26,0.76,0.41,0.15
DNZ,scit_114:MRG:2:250226455,NA,0.83,0.35,0.13
DSS,scit_36:C2C9HACXX:5:250226377,2.29,0.9,0.41,0.19
DSS,scit_38:C2C9HACXX:5:250226393,2.02,0.87,0.46,0.18
DSS,scit_22:C2C9HACXX:5:250226368,2.25,0.87,0.47,0.18
DSS,scit_27:C2C9HACXX:5:250226408,2.26,0.79,0.4,0.19
DSS,scit_28:C2C9HACXX:5:250226321,2.56,0.86,0.41,0.11
DSS,scit_31:C2C9HACXX:5:250226345,2.2,0.81,0.42,0.21
DSS,scit_37:C2C9HACXX:5:250226385,2.31,0.85,0.47,0.13
DSS,scit_21:C2C9HACXX:5:250226360,1.79,0.92,0.47,0.22
DSS,scit_23:C2C9HACXX:5:250226376,2.4,0.91,0.43,0.22
DSS,scit_24:C2C9HACXX:5:250226384,2.21,0.82,0.38,0.17
DSS,scit_25:C2C9HACXX:5:250226392,1.8,0.84,0.4,0.14
DSS,scit_26:C2C9HACXX:5:250226400,2.04,0.92,0.4,0.22
DSS,scit_29:C2C9HACXX:5:250226329,0.48,0.93,0.36,0.25
